Name,Type,Adress,Country,Description,Investment Focus,Target Countries ,Number of Investments,Stage Focus,Ticket size,Pitch process,Backers or partners,Founders,Founder tip,Number of Funds,Year founded,Active since,CB Rank,Open rate,Lead,Legal Status,Portfolio highlights,Phone Number,Contact Email,Website,LinkedIn,Other social Links,Target_Countries_List,profile_text,Target_Countries_Mapped
contango digital assets,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,Contango Digital Assets is a crypto focused venture capital firm helping to fuel the financial revolution.,"FinTech, Blockchain & Crypto","United States, United Arab Emirates, Canada",,"Seed, Pre-Seed, Funding Round",,,,,,,,,,,,,"Heurist â€” Heurist is a Layer 2 network for AI model hosting and inference based on ZK Stack. It offers serverless access to open-source AI models stored on a decentralized network of computer resources.\nSogni AI â€” Unleash creativity with the Sogni Supernet: a purpose-built DePIN protocol for Creative AI. Empowering Creative AI apps with unmatched speed and scale.\nTren Finance â€” Tren Finance: a secure DeFi liquidity protocol offering seamless asset swaps, yield opportunities, and cross-chain compatibility through automated smart contracts, redefining liquidity for users and institutions.",,,https://contango.digital/,https://www.linkedin.com/company/contango-digital-assets/,https://twitter.com/ContangoDigital,"['United States', 'United Arab Emirates', 'Canada']","Focus areas: Blockchain, Cryptocurrency, Financial Services. Stage focus: Seed, Pre-Seed, Funding Round. Contango Digital Assets is a crypto focused venture capital firm helping to fuel the financial revolution.. Country: United Arab Emirates. Target countries: United States, United Arab Emirates, Canada. Portfolio: Heurist â€” Heurist is a Layer 2 network for AI model hosting and inference based on ZK Stack. It offers serverless access to open-source AI models stored on a decentralized network of computer resources.\nSogni AI â€” Unleash creativity with the Sogni Supernet: a purpose-built DePIN protocol for Creative AI. Empowering Creative AI apps with unmatched speed and scale.\nTren Finance â€” Tren Finance: a secure DeFi liquidity protocol offering seamless asset swaps, yield opportunities, and cross-chain compatibility through automated smart contracts, redefining liquidity for users and institutions.",United Arab Emirates
corenest capital,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,"We invest in early-stage AI, robotics, and Web3 startups driving the age of autonomy.","Manufacturing & Industry, Software / SaaS, AI / ML","United States, United Arab Emirates, France",,"Pre-Seed, Seed, Funding Round",,,,,,,,,,,,,"xAI â€” XAI is an AI company that develops a platform to accelerate human scientific discovery. The company primarily focuses on developing advanced AI systems that are truthful, competent, and maximally beneficial for all of humanity. Its mission is to understand the true nature of the universe.\nRevision Dojo â€” Thousands of practice questions, study notes, and flashcards, all in one place. Supercharged with Jojo AI.\nTexture Capital â€” Texture Capital leverages blockchain technology and smart contracts to streamline the current market structure for private placements.",,,https://www.corenest.com/,https://www.linkedin.com/company/corenestvc,https://twitter.com/CoreNestVC,"['United States', 'United Arab Emirates', 'France']","Focus areas: Artificial Intelligence, Software, Information Technology. Stage focus: Pre-Seed, Seed, Funding Round. We invest in early-stage AI, robotics, and Web3 startups driving the age of autonomy.. Country: United Arab Emirates. Target countries: United States, United Arab Emirates, France. Portfolio: xAI â€” XAI is an AI company that develops a platform to accelerate human scientific discovery. The company primarily focuses on developing advanced AI systems that are truthful, competent, and maximally beneficial for all of humanity. Its mission is to understand the true nature of the universe.\nRevision Dojo â€” Thousands of practice questions, study notes, and flashcards, all in one place. Supercharged with Jojo AI.\nTexture Capital â€” Texture Capital leverages blockchain technology and smart contracts to streamline the current market structure for private placements.",United Arab Emirates
cypher capital,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,Cypher Capital is a web3 and blockchain venture capital investment firm.,"Gaming & Entertainment, Blockchain & Crypto","United States, Singapore, United Arab Emirates",,"Seed, Funding Round, Pre-Seed",,,,,,,,,,,,,"Wincast â€” Wincast is the first live NFT bidding platform for live sports. Our platform allows users to bid on incredible sports moments while they're happening, and at the end of each quarter/round/play/down/at-bat, the highest bid is awarded an NFT collectible of that play. Users will then be able to buy, sell, and trade other keymoments with users on the platform through our secondary market and integrated wallet solutions.Own your favorite sports moments before they become THE moment.\nFanTV AI â€” FanTV, the leading AI Agent platform for next-gen Content Creation and backed by Multicoin Capital, is where AI meets Crypto on Sui, leading with over 8 million On-chain Users (80k Creators) and 27 million transactions, processing more than 1.2 million hours of AI-powered content monthly. As the largest platform for content creation across allchains, FanTV contributes to more than 22% of active wallets on Sui.\nSecondLive â€” SecondLive is a diversified metaverse focused on building social networks and supporting creator economic activities.",,,https://cyphercapital.com/,https://www.linkedin.com/company/cyphercapitalgroup,,"['United States', 'Singapore', 'United Arab Emirates']","Focus areas: Blockchain, Gaming, Cryptocurrency. Stage focus: Seed, Funding Round, Pre-Seed. Cypher Capital is a web3 and blockchain venture capital investment firm.. Country: United Arab Emirates. Target countries: United States, Singapore, United Arab Emirates. Portfolio: Wincast â€” Wincast is the first live NFT bidding platform for live sports. Our platform allows users to bid on incredible sports moments while they're happening, and at the end of each quarter/round/play/down/at-bat, the highest bid is awarded an NFT collectible of that play. Users will then be able to buy, sell, and trade other keymoments with users on the platform through our secondary market and integrated wallet solutions.Own your favorite sports moments before they become THE moment.\nFanTV AI â€” FanTV, the leading AI Agent platform for next-gen Content Creation and backed by Multicoin Capital, is where AI meets Crypto on Sui, leading with over 8 million On-chain Users (80k Creators) and 27 million transactions, processing more than 1.2 million hours of AI-powered content monthly. As the largest platform for content creation across allchains, FanTV contributes to more than 22% of active wallets on Sui.\nSecondLive â€” SecondLive is a diversified metaverse focused on building social networks and supporting creator economic activities.",United Arab Emirates
arc the community,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,"Access Asia's most curated community in Web3, enabled by NFTs as proof of membership.",Blockchain & Crypto,"Singapore, South Korea, United Arab Emirates",,"Seed, Pre-Seed, Funding Round",,,,,,,,,,,,,"Sogni AI â€” Unleash creativity with the Sogni Supernet: a purpose-built DePIN protocol for Creative AI. Empowering Creative AI apps with unmatched speed and scale.\nPixelverse â€” Pixelverse is a blockchain-based, pixelated P2E game.\nSecondSwap â€” Turn Locked Tokens Into Liquid Assets. The only decentralized on-chain marketplace for trading locked tokens.",,,https://arccommunity.com/,https://www.linkedin.com/company/arccommune/,https://twitter.com/arcthecommunity,"['Singapore', 'South Korea', 'United Arab Emirates']","Focus areas: Non-Fungible Token (NFT), Web3, Video. Stage focus: Seed, Pre-Seed, Funding Round. Access Asia's most curated community in Web3, enabled by NFTs as proof of membership.. Country: United Arab Emirates. Target countries: Singapore, South Korea, United Arab Emirates. Portfolio: Sogni AI â€” Unleash creativity with the Sogni Supernet: a purpose-built DePIN protocol for Creative AI. Empowering Creative AI apps with unmatched speed and scale.\nPixelverse â€” Pixelverse is a blockchain-based, pixelated P2E game.\nSecondSwap â€” Turn Locked Tokens Into Liquid Assets. The only decentralized on-chain marketplace for trading locked tokens.",United Arab Emirates
liquidx,Angel,"Mumbai, Maharashtra, India",United Arab Emirates,"LiquidX Inc. is the largest electronic marketplace for the exchange of Trade Finance assets. Through its leading technology platform and a diverse and flexible pool of capital, our transaction-based marketplace provides a transparent platform for tapping the capital markets to deliver best price execution for Trade Finance assets. The marketplaceis open to all participants including large corporations, banks, asset managers, hedge funds, insurers and family offices to trade risk and to invest in the Trade Finance asset class. Our seller base is diverse and deep with credits from the largest global companies, and our buyer base ranges from the largest global banks to community banks, hedge funds, and global asset managers.",Gaming & Entertainment,"United States, Singapore, United Arab Emirates",,"Series A, Seed, Funding Round",,,,,,,,,,,,,"L3E7 â€” Embark on adventures, partake in battles, and freely interact in real-world shops to earn rewards.\nPixelverse â€” Pixelverse is a blockchain-based, pixelated P2E game.\nAutoverse Studios â€” Autoverse Studios offers Auto Legends, a competitive social auto racing game, focusing on car culture and player engagement, offering a multi-platform experience for real-time tuning and customization.",,,http://liquidx.com/,https://www.linkedin.com/company/liquidx-inc-/?originalSubdomain=in,https://twitter.com/LiquidX_Network,"['United States', 'Singapore', 'United Arab Emirates']","Focus areas: Gaming, PC Games, Video Games. Stage focus: Series A, Seed, Funding Round. LiquidX Inc. is the largest electronic marketplace for the exchange of Trade Finance assets. Through its leading technology platform and a diverse and flexible pool of capital, our transaction-based marketplace provides a transparent platform for tapping the capital markets to deliver best price execution for Trade Finance assets. The marketplaceis open to all participants including large corporations, banks, asset managers, hedge funds, insurers and family offices to trade risk and to invest in the Trade Finance asset class. Our seller base is diverse and deep with credits from the largest global companies, and our buyer base ranges from the largest global banks to community banks, hedge funds, and global asset managers.. Country: United Arab Emirates. Target countries: United States, Singapore, United Arab Emirates. Portfolio: L3E7 â€” Embark on adventures, partake in battles, and freely interact in real-world shops to earn rewards.\nPixelverse â€” Pixelverse is a blockchain-based, pixelated P2E game.\nAutoverse Studios â€” Autoverse Studios offers Auto Legends, a competitive social auto racing game, focusing on car culture and player engagement, offering a multi-platform experience for real-time tuning and customization.",United Arab Emirates
hayaat group,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"Investing in innovative, sustainable and world-leading projects","E-Commerce & Retail, Software / SaaS","Pakistan, United Arab Emirates",,"Series A, Seed",,,,,,,,,,,,,"zip24 â€” Zip24 all in one logistics management software that helps route optimization, enhance delivery performance and transform warehouse management system.\nBookme.pk â€” Pakistan's leading online ticket booking platform. Buy E-tickets for bus, flight, movie, hotel & cricket with discounts and deals.\nGrocerApp â€” GrocerApp is a low-price online supermarket that allows users to order products across categories like grocery, vegetables, beauty & wellness, household care, baby care, pet care, and meats & seafood and gets it delivered to their doorstep.",,,http://www.hayaatgroup.com/,https://www.linkedin.com/company/hayaat-group/,,"['Pakistan', 'United Arab Emirates']","Focus areas: E-Commerce, SaaS, Retail. Stage focus: Series A, Seed. Investing in innovative, sustainable and world-leading projects. Country: United Arab Emirates. Target countries: Pakistan, United Arab Emirates. Portfolio: zip24 â€” Zip24 all in one logistics management software that helps route optimization, enhance delivery performance and transform warehouse management system.\nBookme.pk â€” Pakistan's leading online ticket booking platform. Buy E-tickets for bus, flight, movie, hotel & cricket with discounts and deals.\nGrocerApp â€” GrocerApp is a low-price online supermarket that allows users to order products across categories like grocery, vegetables, beauty & wellness, household care, baby care, pet care, and meats & seafood and gets it delivered to their doorstep.",United Arab Emirates
2crazynft,VC Fund,"Sliema, NA - Malta, Malta",United Arab Emirates,"2crazynft provides NFT, NFTgaming, crypto, and bitcoin. They provide players with their revolutionary NFT platform, gaming, and eSports. They offer by placing a bid with tokens, enabling users to play against them.","Gaming & Entertainment, Blockchain & Crypto","South Africa, United Arab Emirates",,Seed,,,,,,,,,,,,,"Katana Inu â€” Katana Inu promotes gaming innovation by merging gaming and blockchain. As an all-encompassing ecosystem for gamers and traders, powered by Defi and NFT, Katana Inu's objective is to create a system where gamers can earn from their playtime.\nBillionaire Plus â€” Billionaire Plus is a board game that combine NFT, Defi, collectibles and your journey.",,,https://www.2crazynft.com/,https://www.linkedin.com/company/2crazynft,https://twitter.com/2crazylive,"['South Africa', 'United Arab Emirates']","Focus areas: Gaming, Metaverse, Blockchain. Stage focus: Seed. 2crazynft provides NFT, NFTgaming, crypto, and bitcoin. They provide players with their revolutionary NFT platform, gaming, and eSports. They offer by placing a bid with tokens, enabling users to play against them.. Country: United Arab Emirates. Target countries: South Africa, United Arab Emirates. Portfolio: Katana Inu â€” Katana Inu promotes gaming innovation by merging gaming and blockchain. As an all-encompassing ecosystem for gamers and traders, powered by Defi and NFT, Katana Inu's objective is to create a system where gamers can earn from their playtime.\nBillionaire Plus â€” Billionaire Plus is a board game that combine NFT, Defi, collectibles and your journey.",United Arab Emirates
calvert drive,VC Fund,"Sliema, NA - Malta, Malta",United Arab Emirates,Calvert Drive Ventures is a global early-stage sports tech start-up advisory and investment company.,"Gaming & Entertainment, Blockchain & Crypto","United Kingdom, United Arab Emirates",,Seed,,,,,,,,,,,,,"Katana Inu â€” Katana Inu promotes gaming innovation by merging gaming and blockchain. As an all-encompassing ecosystem for gamers and traders, powered by Defi and NFT, Katana Inu's objective is to create a system where gamers can earn from their playtime.\nSport Buff â€” Boost fan engagement and drive revenue with Sport Buff to Instantly enhance live video content with ad sales, e-commerce integration, and real-time audience data insights",,,https://calvertdrive.ventures/,https://www.linkedin.com/company/calvert-drive-ventures/,,"['United Kingdom', 'United Arab Emirates']","Focus areas: Gaming, Real Time, Blockchain. Stage focus: Seed. Calvert Drive Ventures is a global early-stage sports tech start-up advisory and investment company.. Country: United Arab Emirates. Target countries: United Kingdom, United Arab Emirates. Portfolio: Katana Inu â€” Katana Inu promotes gaming innovation by merging gaming and blockchain. As an all-encompassing ecosystem for gamers and traders, powered by Defi and NFT, Katana Inu's objective is to create a system where gamers can earn from their playtime.\nSport Buff â€” Boost fan engagement and drive revenue with Sport Buff to Instantly enhance live video content with ad sales, e-commerce integration, and real-time audience data insights",United Arab Emirates
syndicate capital,VC Fund,"Sliema, NA - Malta, Malta",United Arab Emirates,"Syndicate Capital is an international capital partner which provides co-investments, capital introduction, fund raising, strategic alliances and corporate advisory services.",Gaming & Entertainment,United Arab Emirates,,Funding Round,,,,,,,,,,,,,"Swisstronik â€” Swisstronik is a Web3 compliance startup developing a layer-1 network for scalable applications that protects users' privacy while meeting regulatory standards. Swisstronik provides a non-custodial cryptocurrency wallet that offers a high level of security for digital assets and ensures user control over their funds. The Swisstronik SuperAppserves as a secure multi-chain wallet and a gateway to various Web3 decentralized applications (dApps), enhancing user experience in the crypto space.\nDragonz Land â€” Dragonz Land is a trading card game on the Venom blockchain in which players purchase, collect, merge, and evolve NFT cards to increase their power, rarity, and value.",,,https://www.syndicatecapital.com/,https://www.linkedin.com/company/syndicate-capital-group,,['United Arab Emirates'],"Focus areas: Video Games, Online Games. Stage focus: Funding Round. Syndicate Capital is an international capital partner which provides co-investments, capital introduction, fund raising, strategic alliances and corporate advisory services.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Swisstronik â€” Swisstronik is a Web3 compliance startup developing a layer-1 network for scalable applications that protects users' privacy while meeting regulatory standards. Swisstronik provides a non-custodial cryptocurrency wallet that offers a high level of security for digital assets and ensures user control over their funds. The Swisstronik SuperAppserves as a secure multi-chain wallet and a gateway to various Web3 decentralized applications (dApps), enhancing user experience in the crypto space.\nDragonz Land â€” Dragonz Land is a trading card game on the Venom blockchain in which players purchase, collect, merge, and evolve NFT cards to increase their power, rarity, and value.",United Arab Emirates
hp spring studios,VC Fund,"Hong Kong, Hong Kong Island, Hong Kong",United Arab Emirates,HP Spring Studios is a venture capital firm.,"FinTech, E-Commerce & Retail, Software / SaaS","Bahrain, United Kingdom",,"Seed, Pre-Seed",,,,,,,,,,,,,"BILRS â€” Bilrs.com is a global bill payment solution platform, enabling online and offline Partners to offer a wide selection of bills to their Customer offerings through a single integration.\nDaleel â€” Daleel is a B2C2B financial marketplace that aims to improve overall financial wellbeing in the MENAP region.\nBetter â€” Better empowers your health journey with science-backed solutions for GUT, HAIR, MIND, & VITALITY.",,,https://www.springstudios.io/,https://www.linkedin.com/company/springstudios,https://twitter.com/hpspringstudios,"['Bahrain', 'United Kingdom']","Focus areas: FinTech, Mobile Apps, Retail Technology. Stage focus: Seed, Pre-Seed. HP Spring Studios is a venture capital firm.. Country: United Arab Emirates. Target countries: Bahrain, United Kingdom. Portfolio: BILRS â€” Bilrs.com is a global bill payment solution platform, enabling online and offline Partners to offer a wide selection of bills to their Customer offerings through a single integration.\nDaleel â€” Daleel is a B2C2B financial marketplace that aims to improve overall financial wellbeing in the MENAP region.\nBetter â€” Better empowers your health journey with science-backed solutions for GUT, HAIR, MIND, & VITALITY.",Bahrain
asif keshodia,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"Asif Keshodia is an Angel Investor based in Dubai, UAE and the co-founder of Storfox.com. He is most notable for his work as the Group CFO of Souq.com, which was acquired by Amazon in a milestone deal for the Middle East tech sector. He joined Souq in 2011 as an early stage investor and raised over $400m to help it become the leading onlineretailer in the region. After its acquisition by Amazon in 2017, he took the role of MENA Regional Finance Director at Amazon. Asif has over 20 years of experience with some of the worldâ€™s biggest names, such as PwC, Gillette, Procter & Gamble, and Amazon, in countries around the world, including the UK, South Africa, Russia, and Pakistan. He is now using his decades of multinational corporate experience to help usher small startups to big success. He is dedicated to aiding young entrepreneurs launch their projects, with sights currently set on bolstering the e-commerce ecosystem in the MENA region and South Asiaâ€™s burgeoning market.In the recent past Asif has served on the Boards of Souq, Payfort.com, and Instashop.com, recently acquired by the Delivery Hero. He has also invested in a number of fledgling startups including Shipox, Clicky.pk, EzHire and Cartlow.comAsif is a graduate of the University of Karachi with a Bachelorâ€™s Degree in Commerce & Economics and a Chartered Accountant (FCA). In 2016, he was named Best Retail CFO of the MENA Region by renowned Middle Eastern publication, The CFO.",E-Commerce & Retail,"Pakistan, United Arab Emirates, Australia",,"Seed, Pre-Seed, Series A",,,,,,,,,,,,,"Kamel Pay â€” Kamel Pay is a fintech and digital financial solutions provider. Kamel Pay offers end-to-end digital payment services to the 20 million underbanked expat population in GCC and to their families abroad through a fully integrated platform.\nCLICKY.PK â€” Clicky.pk offers the largest collection of trendy and affordable fashion and lifestyle products online. Clicky has the best online brand stores in Pakistan. Huge Collection of Jewellery, Handbags, Clutches, Sunglasses, Clothing, Nightwear & More!\nPriceOye â€” Priceoye is Pakistan's No.1 marketplace for buying original mobile phones and electronics. Priceoye is Pakistan's most trusted online store and offers the lowest prices every day.",,,https://www.prnewswire.com/ae/news-releases/grubtech-secures-3-4-million-to-expand-its-cutting-edge-technology-for-cloud-kitchens-301243353.html,https://www.linkedin.com/in/asif-keshodia-5261657,"http://en-gb.facebook.com/asif.keshodia.5 ,","['Pakistan', 'United Arab Emirates', 'Australia']","Focus areas: E-Commerce, Marketplace, Consumer Goods. Stage focus: Seed, Pre-Seed, Series A. Asif Keshodia is an Angel Investor based in Dubai, UAE and the co-founder of Storfox.com. He is most notable for his work as the Group CFO of Souq.com, which was acquired by Amazon in a milestone deal for the Middle East tech sector. He joined Souq in 2011 as an early stage investor and raised over $400m to help it become the leading onlineretailer in the region. After its acquisition by Amazon in 2017, he took the role of MENA Regional Finance Director at Amazon. Asif has over 20 years of experience with some of the worldâ€™s biggest names, such as PwC, Gillette, Procter & Gamble, and Amazon, in countries around the world, including the UK, South Africa, Russia, and Pakistan. He is now using his decades of multinational corporate experience to help usher small startups to big success. He is dedicated to aiding young entrepreneurs launch their projects, with sights currently set on bolstering the e-commerce ecosystem in the MENA region and South Asiaâ€™s burgeoning market.In the recent past Asif has served on the Boards of Souq, Payfort.com, and Instashop.com, recently acquired by the Delivery Hero. He has also invested in a number of fledgling startups including Shipox, Clicky.pk, EzHire and Cartlow.comAsif is a graduate of the University of Karachi with a Bachelorâ€™s Degree in Commerce & Economics and a Chartered Accountant (FCA). In 2016, he was named Best Retail CFO of the MENA Region by renowned Middle Eastern publication, The CFO.. Country: United Arab Emirates. Target countries: Pakistan, United Arab Emirates, Australia. Portfolio: Kamel Pay â€” Kamel Pay is a fintech and digital financial solutions provider. Kamel Pay offers end-to-end digital payment services to the 20 million underbanked expat population in GCC and to their families abroad through a fully integrated platform.\nCLICKY.PK â€” Clicky.pk offers the largest collection of trendy and affordable fashion and lifestyle products online. Clicky has the best online brand stores in Pakistan. Huge Collection of Jewellery, Handbags, Clutches, Sunglasses, Clothing, Nightwear & More!\nPriceOye â€” Priceoye is Pakistan's No.1 marketplace for buying original mobile phones and electronics. Priceoye is Pakistan's most trusted online store and offers the lowest prices every day.",United Arab Emirates
bluecrow capital,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"Expert investment fund management & advisory since 2010. Specializing in venture capital, private equity, and wealth management",FinTech,"United Kingdom, United Arab Emirates",,Seed,,,,,,,,,,,,,"PayNest â€” PayNest is a payments amalgamator, which was created with the core mission of digitizing cash collection in the Middle East.\nSensei â€” We are the leading European provider of autonomous stores, with an AI-powered solution to build efficient operations and deliver a seamless shopping experience.\nOceano Fresco â€” Oceano Fresco develops and produces bivalves varieties with superior performance for shellfish farmers at a competitive cost, respecting environmental sustainability and ensuring consumer safety.They use a multi-disciplinary approach including expertise in molecular biology, genetics, animal physiology, computational biology and intellectualproperty to select value adding traits to shellfish farmers and contribute to the sustainability and profitability of the aquaculture industry.They work with hatcheries, nurseries and research centers in order to test and validate their solutions and ensure that they suit the specific needs of each customer, in each technical and environmental context.",,,https://www.bluecrowcapital.com/,https://www.linkedin.com/company/bluecrowcapital/about/,https://twitter.com/bluecrowcapital,"['United Kingdom', 'United Arab Emirates']","Focus areas: FinTech, Payments, Mobile Payments. Stage focus: Seed. Expert investment fund management & advisory since 2010. Specializing in venture capital, private equity, and wealth management. Country: United Arab Emirates. Target countries: United Kingdom, United Arab Emirates. Portfolio: PayNest â€” PayNest is a payments amalgamator, which was created with the core mission of digitizing cash collection in the Middle East.\nSensei â€” We are the leading European provider of autonomous stores, with an AI-powered solution to build efficient operations and deliver a seamless shopping experience.\nOceano Fresco â€” Oceano Fresco develops and produces bivalves varieties with superior performance for shellfish farmers at a competitive cost, respecting environmental sustainability and ensuring consumer safety.They use a multi-disciplinary approach including expertise in molecular biology, genetics, animal physiology, computational biology and intellectualproperty to select value adding traits to shellfish farmers and contribute to the sustainability and profitability of the aquaculture industry.They work with hatcheries, nurseries and research centers in order to test and validate their solutions and ensure that they suit the specific needs of each customer, in each technical and environmental context.",United Arab Emirates
magic eden,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,Magic Eden is the leading community-centric NFT marketplace. Home to the next generation of creators. Discover the best and latest NFT collections today.,"Gaming & Entertainment, Blockchain & Crypto","Singapore, United States, United Arab Emirates",,"Seed, Pre-Seed, Funding Round",,,,,,,,,,,,,"Intella X â€” The Next Generation of Web3 Gaming Platform\nBoomLand â€” BoomLand is a blockchain gaming platform that gives a revolutionary gaming experience. It aims to create a sustainable ecosystem where global players are free to play, earn and live by unlocking the value of their in-game assets and Metaverse tokens. BoomLand was founded n 2021.\nAether Games â€” Aether Games are the creative talent behind both of the widely expected NFT-based game titles: Gates of Ethernity and Cards of Ethernity. In addition, the studio's creative efforts are up to be represented by the CGI mini-series \Aether\ and many more.",,,https://www.magiceden.io/,https://www.linkedin.com/company/magic-eden,https://twitter.com/MagicEden?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"['Singapore', 'United States', 'United Arab Emirates']","Focus areas: Blockchain, Gaming, Animation. Stage focus: Seed, Pre-Seed, Funding Round. Magic Eden is the leading community-centric NFT marketplace. Home to the next generation of creators. Discover the best and latest NFT collections today.. Country: United Arab Emirates. Target countries: Singapore, United States, United Arab Emirates. Portfolio: Intella X â€” The Next Generation of Web3 Gaming Platform\nBoomLand â€” BoomLand is a blockchain gaming platform that gives a revolutionary gaming experience. It aims to create a sustainable ecosystem where global players are free to play, earn and live by unlocking the value of their in-game assets and Metaverse tokens. BoomLand was founded n 2021.\nAether Games â€” Aether Games are the creative talent behind both of the widely expected NFT-based game titles: Gates of Ethernity and Cards of Ethernity. In addition, the studio's creative efforts are up to be represented by the CGI mini-series \Aether\ and many more.",United Arab Emirates
vn2 capital,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"A fund investing in the blockchain, crypto & web3 ecosystem as well as disruptive technology. Offices in London & New York.","Media & Marketing, Advertising / Digital Marketing",United Arab Emirates,,Seed,,,,,,,,,,,,,Flyby â€” Flyby is an innovation in last mile delivery with a smart delivery box and technology platform offering tracking and advertising.,,,https://www.vn2.io/,https://www.linkedin.com/company/vn2-capital/,,['United Arab Emirates'],"Focus areas: Advertising, Digital Media. Stage focus: Seed. A fund investing in the blockchain, crypto & web3 ecosystem as well as disruptive technology. Offices in London & New York.. Country: United Arab Emirates. Target countries: United Arab Emirates. Portfolio: Flyby â€” Flyby is an innovation in last mile delivery with a smart delivery box and technology platform offering tracking and advertising.",United Arab Emirates
kaaf investments,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,KAAF Investments is an investment firm.,"FinTech, Software / SaaS","Nigeria, United Arab Emirates",,"Series A, Private Equity",,,,,,,,,,,,,"Kitab Sawti â€” Kitab Sawti is an Arabic audio entertainment service offering audiobooks and podcasts through mobile apps.\nMoove â€” Moove is a mobility fintech that provides revenue-based vehicle financing to mobility entrepreneurs, democratizing vehicle ownership across Africa.The company embeds its alternative credit-scoring technology onto ride-hailing and e-logistics platforms, which allows access to proprietary performance and revenue analytics of mobility entrepreneurs tounderwrite loans.Moove was founded by Ladi Delano and Jide Odunsi in 2019.",,,http://www.kaafinvestments.com/,https://www.linkedin.com/company/kaaf-investments,,"['Nigeria', 'United Arab Emirates']","Focus areas: Apps, Audio, FinTech. Stage focus: Series A, Private Equity. KAAF Investments is an investment firm.. Country: United Arab Emirates. Target countries: Nigeria, United Arab Emirates. Portfolio: Kitab Sawti â€” Kitab Sawti is an Arabic audio entertainment service offering audiobooks and podcasts through mobile apps.\nMoove â€” Moove is a mobility fintech that provides revenue-based vehicle financing to mobility entrepreneurs, democratizing vehicle ownership across Africa.The company embeds its alternative credit-scoring technology onto ride-hailing and e-logistics platforms, which allows access to proprietary performance and revenue analytics of mobility entrepreneurs tounderwrite loans.Moove was founded by Ladi Delano and Jide Odunsi in 2019.",United Arab Emirates
inbox capital,VC Fund,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,"Venture Capital in disruptive, global and high growth potential companies. Stage of funding is pre-series A - C rounds","Manufacturing & Industry, Software / SaaS","Sweden, United States, United Arab Emirates",,"Funding Round, Seed, Series A",,,,,,,,,,,,,"Kavall â€” Kavall is a grocery delivery startup.\nVOI Technology â€” VOI is a micro-mobility startup that provides electric scooters for last-mile transportation. Douglas Stark, Filip Lindvall, and Fredrik Hjelm founded it in 2018. Its headquarters is located in Stockholm in Sweden.VOI Technology is aiming to create a system of electrically powered scooters around urban centers to provide an affordable,sustainable, and exhilarating way to commute while helping people to reduce their carbon footprint and cities to have a more sustainable transportation network.\nFast Travel Games â€” Fast Travel Games is a VR exclusive game developer and publisher, founded by industry leading veterans and behind acclaimed titles such as Apex Construct and Wraith: The Oblivion - Afterlife.",,,http://inboxcap.com/,https://in.linkedin.com/company/inbox-capital-ab,,"['Sweden', 'United States', 'United Arab Emirates']","Focus areas: Software, Apps, Service Industry. Stage focus: Funding Round, Seed, Series A. Venture Capital in disruptive, global and high growth potential companies. Stage of funding is pre-series A - C rounds. Country: United Arab Emirates. Target countries: Sweden, United States, United Arab Emirates. Portfolio: Kavall â€” Kavall is a grocery delivery startup.\nVOI Technology â€” VOI is a micro-mobility startup that provides electric scooters for last-mile transportation. Douglas Stark, Filip Lindvall, and Fredrik Hjelm founded it in 2018. Its headquarters is located in Stockholm in Sweden.VOI Technology is aiming to create a system of electrically powered scooters around urban centers to provide an affordable,sustainable, and exhilarating way to commute while helping people to reduce their carbon footprint and cities to have a more sustainable transportation network.\nFast Travel Games â€” Fast Travel Games is a VR exclusive game developer and publisher, founded by industry leading veterans and behind acclaimed titles such as Apex Construct and Wraith: The Oblivion - Afterlife.",United Arab Emirates
